address,lng,lat
"670 STONLEIGH AVE, CARMEL, NY, 10512",-73.663765,41.387836
"18 KENNEDY DRIVE, PUTNAM, CT, 06260",-71.89946,41.899727
"2 ST. FRANCIS PLACE, RENSSELAER, NY, 12144",,
"3697 NY-43, WEST SAND LAKE, NY, 12196",,
"1565 OLD LOUISQUISSETE PIKE, LINCOLN, RI, 02865",,
"311 DANIELSON PIKE, NORTH SCITUATE, RI, 02857",-71.602684,41.83224
"234 MAIN ST., RIDGEFIELD PARK, NJ, 07660",-74.02478,40.858032
"125 DANBURY RD, RIDGEFIELD, CT, 06877",-73.493,41.293583
"158 MAIN STPO BOX 7, RINDGE, NH, 03461",-72.01239,42.75306
"699 OLD MAIN STREET, ROCKY HILL, CT, 06067",-72.63831,41.665985
"101 PRINCETOWN ROAD, ROTTERDAM, NY, 12306",-73.99054,42.79558
"46 DIAMOND RUN MALL PLACE, RUTLAND, VT, 05701",-72.967255,43.5832
"26 TIBBITS LANE, PORT WASHINGTON, NY, 11050",-73.71585,40.85566
"15 CROSSING BLVD., CLIFTON PARK, NY, 12065",-73.77155,42.854897
"1583 ROUTE 9, FORT EDWARD, NY, 12828",-73.654335,43.263706
"211 CHURCH STREET, SARATOGA SPRINGS, NY, 12866",-73.79622,43.084793
"474 BROADWAY, SARATOGA SPRINGS, NY, 12866",,
"130 PRINCETOWN PLAZA, SCHENECTADY, NY, 12306",-74.0324,42.77998
"531 LIBERTY ST., SCHENECTADY, NY, 12305",-73.93801,42.814243
"1797 COLUMBIA TURNPIKE, CASTLETON, NY, 12033",-73.67696,42.55505
"4 NORTH TEN BROECK STREET, SCOTIA, NY, 12302",-73.96393,42.827015
"394 NICOLLS ROAD, EAST SETAUKET, NY, 11733",,
"213SOUTH MAIN STREET, SHARON, MA, 02067",,
"1 RT 39 N, SHERMAN, CT, 06784",,
"215 PLEASANT VIEW AVE, SMITHFIELD, RI, 02917",-71.54381,41.89841
"227 PHILLIPS AVE., SOUTH HACKENSACK, NJ, 07606",-74.045494,40.86011
"151 SAND HILL RD, SOUTH WINDSOR, CT, 06074",-72.55161,41.83661
"210 COLLEGE HIGHWAY, SOUTHAMPTON, MA, 01073",,
"1 MECHANIC STREET, SOUTHBRIDGE, MA, 01550",-72.026436,42.073627
"421 MAIN STREET SOUTH, SOUTHBURY, CT, 06488",-73.224174,41.470493
"2044 MONTAUK HWY, BRIDGEHAMPTON, NY, 11932",,
"655 FLANDERS ROAD, RIVERHEAD, NY, 11901",,
"25 PONQUOGUE AVENUE, HAMPTON BAYS, NY, 11946",-72.52176,40.875755
"133 MAIN STREET, SPENCER, MA, 01562",-71.99299,42.24387
"1840 ROOSEVELT AVE, SPRINGFIELD, MA, 01109",-72.54596,42.131554
"805 BEDFORD STREET, STAMFORD, CT, 06901",-73.53757,41.06081
"452 BANTAM RD, LITCHFIELD, CT, 06759",-73.21583,41.737938
"75 HUDSON RD., SUDBURY, MA, 01776",-71.41678,42.383778
"14 MAIN STREET, NEWPORT, NH, 03773",-72.07015,43.430458
"9 SARGENT ROAD, SUNAPEE, NH, 03782",-72.088646,43.391098
"105 RIVER ROAD, SUNDERLAND, MA, 01375",-72.58489,42.451374
"223 STOREHILL ROAD, OLD WESTBURY, NY, 11568",-73.58368,40.782455
"158 MAIN ST, THOMASTON, CT, 06787",-73.074425,41.67323
"127 NORWICH AVE., COLCHESTER, CT, 06415",,
"1 NISKAYUNA CIRCLE, NISKAYUNA, NY, 12309",-73.88605,42.818367
"41 BRIDGE STREET, SOUTH HADLEY, MA, 01075",-72.59362,42.21592
"70 BROOKLINE STREET, TOWNSEND, MA, 01469",-71.699745,42.677784
"463 ASHLEY FALLS RD, NORTH CANAAN, CT, 06018",-73.32554,42.043938
"1111 COUNTRY CLUB RD, MIDDLETOWN, CT, 06457",-72.728714,41.568535
"7 NEWENT RD. LISBON, JEWETT CITY, CT, 06351",-72.01799,41.604717
"15A OLD HARTFORD ROAD, COLCHESTER, CT, 06415",-72.34173,41.57947
"55 STATE STREET, TROY, NY, 12180",-73.68714,42.729656
"200 MIDDLEBROOKS AVE., TRUMBULL, CT, 06611",-73.21412,41.248367
"20 WESTFORD ROAD, TYNGSBORO, MA, 01879",-71.427124,42.660004
"522 22ND STREET, UNION CITY, NJ, 07087",-74.03365,40.766445
"124 STATE PLACE, RUTLAND, VT, 05701",-72.97792,43.635277
"96 AIRPORT ROAD, SHAFTSBURY, VT, 05262",-73.20821,42.953495
"1330 WESTMINSTER HIGHTS ROAD, PUTNEY, VT, 05346",,
"188 UNION ST, VERNON ROCKVILLE, CT, 06066",-72.46514,41.86846
"112 MAIN STREET, DOBBS FERRY, NY, 10522",-73.87487,41.01518
"7 MAPLE AVENUE, HASTINGS ON HUDSON, NY, 10706",-73.883125,40.995655
"44 MAIN STREET, HASTINGS ON HUDSON, NY, 10706",-73.88081,40.994175
"6511 SPRINGBROOK AVE, RHINEBECK, NY, 12572",-73.91251,41.93402
"54 UNION BLVD., WALLINGTON, NJ, 07057",-74.11476,40.853153
"155 LEXINGTON ST, WALTHAM, MA, 02452",-71.23586,42.38052
"5 HALFMOON POND RD., WASHINGTON, NH, 03280",-72.09559,43.17593
"255 EAST MAIN ST, WATERBURY, CT, 06702",-73.03628,41.554596
"552 MAIN STREET, WATERTOWN, MA, 02472",,
"2-15TH STREET, WATERVLIET, NY, 12189",,
"38 COCHITUATE ROAD, WAYLAND, MA, 01778",-71.36044,42.36341
