"3280","111 E. COURT STREET, METAMORA, IL, 61548","No_Match"
"3282","126 GROVE STREET, STANDISH, MI, 48658","Tie"
"518","400 DANIEL WEBSTER HIGHWAY, MEREDITH, NH, 03253","Match","Exact","400 DANIEL WEBSTER HWY, MEREDITH, NH, 03253","-71.503654,43.67162","145490477","L"
"517","126 NEW SALEM ST, LACONIA, NH, 03246","Match","Exact","126 NEW SALEM ST, LACONIA, NH, 03246","-71.47315,43.527706","635767519","R"
"1847","3 MALL ROAD, BARBOURSVILLE, WV, 25504","Match","Exact","3 MALL RD, BARBOURSVILLE, WV, 25504","-82.26219,38.420666","101336845","L"
"2979","31 MACK AVE, SHELBY, OH, 44875","Match","Exact","31 MACK AVE, SHELBY, OH, 44875","-82.65785,40.874905","12839713","R"
"516","297 NH ROUTE 140, GILMANTON, NH, 03237","Match","Non_Exact","297 STATE RTE 140, GILMANTON, NH, 03237","-71.423935,43.42273","145497743","R"
"1848","766 B STREET, CEREDO, WV, 25507","No_Match"
"2978","3040 S. ST. RTE. 100, TIFFIN, OH, 44883","No_Match"
"515","861 CENTRAL STCVS PARKING LOT, FRANKLIN, NH, 03235","Match","Non_Exact","861 CENTRAL ST, FRANKLIN, NH, 03235","-71.62776,43.447147","635865163","L"
"1845","841 MERRIMON AVE, ASHEVILLE, NC, 28804","Match","Exact","841 MERRIMON AVE, ASHEVILLE, NC, 28804","-82.55302,35.627296","36844814","R"
"514","95 WATER VILLAGE ROAD, OSSIPEE, NH, 03864","Match","Exact","95 WATER VILLAGE RD, OSSIPEE, NH, 03864","-71.13623,43.686035","145598622","R"
"1846","91 S. TUNNEL RD, ASHEVILLE, NC, 28805","Tie"
"5343","2160 MILL BAY ROAD, KODIAK, AK, 99615","No_Match"
"5342","PIONEER AND BARTLETT, HOMER, AK, 99603","No_Match"
"5345","3755 AIRPORT WAY, FAIRBANKS, AK, 99709","Match","Exact","3755 AIRPORT WAY, FAIRBANKS, AK, 99709","-147.81377,64.83676","190924503","L"
"5344","1979 PEGER ROAD, FAIRBANKS, AK, 99709","Match","Exact","1979 PEGER RD, FAIRBANKS, AK, 99709","-147.77852,64.83144","190892706","R"
"2100","2289 GUNBARREL ROAD, CHATTANOOGA, TN, 37421","Match","Exact","2289 GUNBARREL RD, CHATTANOOGA, TN, 37421","-85.15025,35.039818","605463382","L"
"5341","212 CHENEGA STREET, VALDEZ, AK, 99686","Match","Non_Exact","212 CHENEGA AVE, VALDEZ, AK, 99686","-146.35396,61.13004","191118828","L"
"5340","34300 S TALKEETNA SPUR ROADMILEPOST 4.4, TALKEETNA, AK, 99676","No_Match"
"5339","535 WEST EVERGREEN AVE, PALMER, AK, 99645","No_Match"
"522","334 MAIN STREET, PLYMOUTH, NH, 03264","Match","Exact","334 MAIN ST, PLYMOUTH, NH, 03264","-71.68423,43.74872","145688680","L"
"1830","1900 KANAWHA BOULEVARD EAST, CHARLESTON, WV, 25305","Match","Exact","1900 KANAWHA BLVD E, CHARLESTON, WV, 25305","-81.61297,38.33553","78647866","L"
"2966","3613 STETZER RD., BUCYRUS, OH, 44820","Match","Exact","3613 STETZER RD, BUCYRUS, OH, 44820","-82.9384,40.816025","12091290","R"
"521","24 INTERVALE ROAD, NEW HAMPTON, NH, 03256","No_Match"
"1831","245 S 4TH STREET, WYTHEVILLE, VA, 24382","Match","Exact","245 S 4TH ST, WYTHEVILLE, VA, 24382","-81.08362,36.94724","47648990","L"
"2965","127 N. VANCE ST., CAREY, OH, 43316","Match","Exact","127 N VANCE ST, CAREY, OH, 43316","-83.38256,40.952953","13050127","R"
"524","7 DORE ST, CENTER OSSIPEE, NH, 03814","Match","Exact","7 DORE ST, CTR OSSIPEE, NH, 03814","-71.154274,43.754444","145613436","R"
"1832","363 MAIN STSTE 204, GRANTSVILLE, WV, 26147","Match","Non_Exact","363 MAIN ST, GRANTSVILLE, WV, 26147","-81.094086,38.92469","49923813","R"
"2964","320 BELL ST., BELLVILLE, OH, 44813","Match","Exact","320 BELL ST, BELLVILLE, OH, 44813","-82.512505,40.615486","12851471","R"
"523","565 SANBORN ROAD, SANBORNTON, NH, 03269","Match","Exact","565 SANBORN RD, SANBORNTON, NH, 03269","-71.583305,43.49187","145499620","R"
"1833","WASHINGTON AVE, ATHENS, TN, 37303","No_Match"
"2963","1205 E. MAIN ST., ASHLAND, OH, 44805","Tie"
"5335","2300 ABBOTT ROAD, ANCHORAGE, AK, 99507","Match","Exact","2300 ABBOTT RD, ANCHORAGE, AK, 99507","-149.8377,61.137516","190800440","R"
