Participant,CollectionSite,Address,City,State,Zip,MapURL
FORSYTH COUNTY SHERIFF¿S OFFICE,NORTH PRECINCT,2310 KEITH BRIDGE RD,CUMMING,GA,30040,"http://maps.google.com/maps?q=2310 KEITH BRIDGE RD,+CUMMING,+GA+30040&hl=en"
FORSYTH COUNTY SHERIFF¿S OFFICE,SOUTH PRECINCT,2985 RONALD REAGAN BLVD,CUMMING,GA,30041,"http://maps.google.com/maps?q=2985 RONALD REAGAN BLVD,+CUMMING,+GA+30041&hl=en"
FORT PAYNE POLICE DEPARTMENT,FORT PAYNE POLICE DEPARTMENT,200 GAULT AVE S,FORT PAYNE,AL,35967,"http://maps.google.com/maps?q=200 GAULT AVE S,+FORT PAYNE,+AL+35967&hl=en"
GADSDEN COUNTY SHERIFF'S OFFICE,GADSDEN COUNTY SHERIFF'S OFFICE,339 EAST JEFFERSON STREET,QUINCY,FL,32351,"http://maps.google.com/maps?q=339 EAST JEFFERSON STREET,+QUINCY,+FL+32351&hl=en"
GARDENDALE POLICE DEPARTMENT,GARDENDALE POLICE DEPARTMENT,1309 DECATUR HIGHWAY,GARDENDALE,AL,35071,"http://maps.google.com/maps?q=1309 DECATUR HIGHWAY,+GARDENDALE,+AL+35071&hl=en"
GILES COUNTY SHERIFF'S DEPT.,FRED'S PHARMACY,1670 W. COLLEGE ST. #1,PULASKI,TN,38478,"http://maps.google.com/maps?q=1670 W. COLLEGE ST. #1,+PULASKI,+TN+38478&hl=en"
GROVEHILL POLICE DEPARTMENT,CITY DRUGS,123 JACKSON STREET SOUTH,GROVE HILL,AL,36451,"http://maps.google.com/maps?q=123 JACKSON STREET SOUTH,+GROVE HILL,+AL+36451&hl=en"
GULF BREEZE POLICE DEPARTMENT,GULF BREEZE POLICE DEPARTMENT,311 FAIRPOINT DRIVE,GULF BREEZE,FL,32561,"http://maps.google.com/maps?q=311 FAIRPOINT DRIVE,+GULF BREEZE,+FL+32561&hl=en"
GWINNETT COUNTY POLICE DEPARTMENT,CITY OF BERKELEY LAKE CITY HALL,4040 S. BERKELEY LAKE ROAD,DULUTH,GA,30096,"http://maps.google.com/maps?q=4040 S. BERKELEY LAKE ROAD,+DULUTH,+GA+30096&hl=en"
GWINNETT COUNTY SHERIFF'S OFFICE,GWINNETT COUNTY POLICE DEPARTMENT,2900 UNIVESTIY PARKWAY,LAWRENCEVILLE,GA,30043,"http://maps.google.com/maps?q=2900 UNIVESTIY PARKWAY,+LAWRENCEVILLE,+GA+30043&hl=en"
