name,CollectionSite,Address 1,City,state,postal,googleMapsUrl,address,source,source_date
SEARSPORT POLICE DEPARTMENT,SEARSPORT POLICE DEPARTMENT DAN RICH PUBLIC SAFETY BUILDING,P O BOX 4993 UNION STREET,SEARSPORT,ME,4974,"http://maps.google.com/maps?q=P O  BOX 499,+SEARSPORT,+ME+04974&hl=en","P O BOX 4993 UNION STREET, SEARSPORT, ME 04974",DEA,NTBD_2018_OCT
SOUTH PORTLAND POLICE DEPARTMENT,SOUTH PORTLAND POLICE DEPARTMENT MEDICATION COLLECTION BOX IN LOBBY,30 ANTHOINE STREET,SOUTH PORTLAND,ME,4106,"http://maps.google.com/maps?q=30 ANTHOINE STREET,+SOUTH PORTLAND,+ME+04106&hl=en","30 ANTHOINE STREET, SOUTH PORTLAND, ME 04106",DEA,NTBD_2018_OCT
THOMASTON POLICE DEPARTMENT,LOWE'S HOME CENTER OPERATED BY THOMASTON PD,164 NEW COUNTY ROAD,THOMASTON,ME,4861,"http://maps.google.com/maps?q=164 NEW COUNTY ROAD,+THOMASTON,+ME+04861&hl=en","164 NEW COUNTY ROAD, THOMASTON, ME 04861",DEA,NTBD_2018_OCT
TOPSHAM POLICE DEPARTMENT,TOPSHAM TOWN HALL OPERATED BY TOPSHAM PD,100 MAIN STREET,TOPSHAM,ME,4086,"http://maps.google.com/maps?q=100 MAIN STREET,+TOPSHAM,+ME+04086&hl=en","100 MAIN STREET, TOPSHAM, ME 04086",DEA,NTBD_2018_OCT
WALDO COUNTY SHERIFF'S OFFICE,WALDO COUNTY SHERIFF'S OFFICE,6 PUBLIC SAFETY WAY,BELFAST,ME,4915,"http://maps.google.com/maps?q=6 PUBLIC SAFETY WAY,+BELFAST,+ME+04915&hl=en","6 PUBLIC SAFETY WAY, BELFAST, ME 04915",DEA,NTBD_2018_OCT
WALDOBORO POLICE DEPARTMENT,WALDOBORO POLICE DEPARTMENT,1600 ATLANTIC HIGHWAY,WALDOBORO,ME,4572,"http://maps.google.com/maps?q=1600 ATLANTIC HIGHWAY,+WALDOBORO,+ME+04572&hl=en","1600 ATLANTIC HIGHWAY, WALDOBORO, ME 04572",DEA,NTBD_2018_OCT
YARMOUTH POLICE DEPARTMENT,YARMOUTH TOWN HALL COMMUNITY ROOM - OPERATED BY YARMOUTH PD,200 MAIN STREET,YARMOUTH,ME,4096,"http://maps.google.com/maps?q=200 MAIN STREET,+YARMOUTH,+ME+04096&hl=en","200 MAIN STREET, YARMOUTH, ME 04096",DEA,NTBD_2018_OCT
BUCKSPORT POLICE DEPARTMENT,BUCKSPORT POLICE DEPARTMENT,89 FRANKLIN STREET,BUCKSPORT,ME,4416,"http://maps.google.com/maps?q=89 FRANKLIN STREET,+BUCKSPORT,+ME+04416&hl=en","89 FRANKLIN STREET, BUCKSPORT, ME 04416",DEA,NTBD_2018_OCT
HAMPDEN POLICE DEPARTMENT,HAMPDEN POLICE DEPARTMENT,106 WESTERN AVENUE,HAMPDEN,ME,4444,"http://maps.google.com/maps?q=106 WESTERN AVENUE,+HAMPDEN,+ME+04444&hl=en","106 WESTERN AVENUE, HAMPDEN, ME 04444",DEA,NTBD_2018_OCT
AROOSTOOK COUNTY SHERIFF'S OFFICE,AROOSTOOK COUNTY SHERIFF'S OFFICE,25 SCHOOL STREET,HOULTON,ME,4730,"http://maps.google.com/maps?q=25 SCHOOL STREET,+HOULTON,+ME+04730&hl=en","25 SCHOOL STREET, HOULTON, ME 04730",DEA,NTBD_2018_OCT
BAILEYVILLE POLICE DEPARTMENT,BAILEYVILLE POLICE DEPARTMENT,63 BROADWAY ST.,BAILEYVILLE,ME,4694,"http://maps.google.com/maps?q=63 BROADWAY ST.,+BAILEYVILLE,+ME+04694&hl=en","63 BROADWAY ST., BAILEYVILLE, ME 04694",DEA,NTBD_2018_OCT
BANGOR POLICE DEPARTMENT,BANGOR POLICE DEPARTMENT COLLECTION BOX IN LOBBY - JASON MCAMBLEY,240 MAIN STREET,BANGOR,ME,4401,"http://maps.google.com/maps?q=240 MAIN STREET,+BANGOR,+ME+04401&hl=en","240 MAIN STREET, BANGOR, ME 04401",DEA,NTBD_2018_OCT
BAR HARBOR POLICE DEPARTMENT,BAR HARBOR POLICE DEPARTMENT,37 FIREFLY LANE,BAR HARBOR,ME,4609,"http://maps.google.com/maps?q=37 FIREFLY LANE,+BAR HARBOR,+ME+04609&hl=en","37 FIREFLY LANE, BAR HARBOR, ME 04609",DEA,NTBD_2018_OCT
BREWER POLICE DEPARTMENT,BREWER POLICE DEPARTMENT,151 PARKWAY SOUTH,BREWER,ME,4412,"http://maps.google.com/maps?q=151 PARKWAY SOUTH,+BREWER,+ME+04412&hl=en","151 PARKWAY SOUTH, BREWER, ME 04412",DEA,NTBD_2018_OCT
CALAIS POLICE DEPARTMENT,CALAIS POLICE DEPARTMENT LOBBY,312 NORTH STREET,CALAIS,ME,4619,"http://maps.google.com/maps?q=312 NORTH STREET,+CALAIS,+ME+04619&hl=en","312 NORTH STREET, CALAIS, ME 04619",DEA,NTBD_2018_OCT
CARIBOU POLICE DEPARTMENT,CARIBOU POLICE DEPARTMENT,25 HIGH STREET,CARIBOU,ME,4736,"http://maps.google.com/maps?q=25 HIGH STREET,+CARIBOU,+ME+04736&hl=en","25 HIGH STREET, CARIBOU, ME 04736",DEA,NTBD_2018_OCT
DOVER-FOXCROFT POLICE DEPARTMENT,DOVER-FOXCROFT POLICE DEPARTMENT,182 EAST MAIN STREET,DOVER FOXCROFT,ME,4426,"http://maps.google.com/maps?q=182 EAST MAIN STREET,+DOVER FOXCROFT,+ME+04426&hl=en","182 EAST MAIN STREET, DOVER FOXCROFT, ME 04426",DEA,NTBD_2018_OCT
EAST MILLINOCKET POLICE DEPARTMENT,EAST MILLINOCKET POLICE DEPARTMENT COLLECTION BOX IN LOBBY,125 MAIN STREET,EAST MILLINOCKET,ME,4430,"http://maps.google.com/maps?q=125 MAIN STREET,+EAST MILLINOCKET,+ME+04430&hl=en","125 MAIN STREET, EAST MILLINOCKET, ME 04430",DEA,NTBD_2018_OCT
EASTPORT POLICE DEPARTMENT,EASTPORT POLICE DEPARTMENT,22 WASHINGTON STREET,EASTPORT,ME,4631,"http://maps.google.com/maps?q=22 WASHINGTON STREET,+EASTPORT,+ME+04631&hl=en","22 WASHINGTON STREET, EASTPORT, ME 04631",DEA,NTBD_2018_OCT
ELLSWORTH POLICE DEPARTMENT,ELLSWORTH POLICE DEPARTMENT,1 CITY HALL PLAZA,ELLSWORTH,ME,4605,"http://maps.google.com/maps?q=1 CITY HALL PLAZA,+ELLSWORTH,+ME+04605&hl=en","1 CITY HALL PLAZA, ELLSWORTH, ME 04605",DEA,NTBD_2018_OCT
