Unnamed: 0,address,postal,state,lat,lng
3954,417 EMORY ROAD,37849,TN,36.0500816,-84.000512
3955,5120 HIGHWAY 153,37343,TN,35.120007,-85.23698
3959,786 GERMANTOWN PKWY.,38018,TN,35.14668,-89.79534
3961, 17720 CORPORATE WOODS DRIVE,78259,TX,29.6031738,-98.4406129
3964," PARK BUILDING, ROOM G-105",21287,MD,39.2967385,-76.5949249
3965, 1 ATWELL RD,13326,NY,42.696016,-74.9253747
3967, SUITE 113,78229,TX,29.511017,-98.570885
3970, SUITE 2,55072,MN,46.1183572,-92.8873863
3972, FIRST FLOOR,29464,SC,32.805412,-79.887596
3974, #102,84088,UT,40.59163,-111.93875
3975, 2142 NORTH COVE BLVD,43606,OH,41.667537,-83.6252378
3976," PO BOX 8150, ROUTE HC01",85634,AZ,32.1896267,-112.417831
3978," PO BOX 8700, ROUTE 8HC01",85634,AZ,32.3252737,-112.0423769
3979, 1 MESQUTIE DR.,85634,AZ,31.9186494,-111.8924093
3984,3201 SOUTHWESTERN BLVD.,14127,NY,42.795845,-78.75264
3988,700 FIRST NORTH STREET,13208,NY,43.069412,-76.149055
3991, 700 THRUWAY PLAZA DR.,14225,NY,42.9412628,-78.809693
3992, 35 FRANKLIN PLAZA,14437,NY,42.5639108,-77.7144375
3997,CREGO & DOWNER ROADS,13027,NY,43.1531712,-76.3527105
3999, P.O. BOX 335,12570,NY,41.625362,-73.6884
4002, P O BOX 6028,27834,NC,35.607605,-77.3976
4003, AMBULATORY CARE CENTER PHARMACY,27599,NC,35.90054,-79.058478
4004, 1601 MURPHY DRIVE,72113,AR,34.8773971,-92.3967727
4006, SUITE H-2,78539,TX,26.257254,-98.1740117
4007, WEINBERG BUILDING,21201,MD,39.2877168,-76.6228811
4009, 750 EAST ADAMS STREET,13210,NY,43.0412391,-76.1416026
4010, BUILDING B,79907,TX,31.687398,-106.3327023
4011, 530 SOUTH JACKSON STREET,40202,KY,38.24849,-85.7519759
4012, 4815 ALAMEDA,79905,TX,31.7544328,-106.4528226
4014,3130 N COUNTY ROAD 25A,45373,OH,40.09009,-84.224266
4015, 3551 ROGER BROOKE DRIVE,78234,TX,29.459702,-98.4188585
4016, BLDG 9040,98431,WA,47.1096692,-122.5540681
4017, BLDG 1179,78234,TX,29.4542543,-98.4423726
4018, BLDG 2401,78234,TX,29.451572,-98.451193
4019, BUILDING 1279 ROOM A219,78234,TX,29.4560831,-98.442381
4021, BLDG 5026,78251,TX,29.5834108,-98.6192968
4022,10010 ROGERS CROSSING,78251,TX,29.471975,-98.6885
4023,617 5TH & BENTON,98841,WA,48.4045213,-119.5209975
4027, 300 TUSKEGEE BLVD,19902,DE,39.121878,-75.4775344
4028,590 MITCHELL BLVD BLDG 375,78843,TX,29.3526567,-100.7939297
4029, 527 GOTT ROAD,73705,OK,36.3371657,-97.8994238
4030, 221 3RD ST W BLDG 1040,78150,TX,29.5407999,-98.2930684
4031, SUITE 1/SGSKS,78236,TX,29.3990722,-98.6252104
4034,2250 LEESTOWN ROAD,40511,KY,38.07752,-84.54153
4035, US ROUTE 322,16335,PA,41.6280211,-80.1556061
4036,4515 SOUTH TELEGRAPH RD,48125,MI,42.2769567,-83.2720893
4038, SUITE 6,30135,GA,33.705746,-84.77426
4039,10901 WEST BROAD STREET,23060,VA,37.6405111,-77.5815019
4041,13031 LEE-JACKSON HIGHWAY,22033,VA,38.8670932,-77.4019806
4044,13800 HULL STREET RD.,23112,VA,37.408026,-77.6599757
4053,3117 LOCKHEED BLVD,22306,VA,38.759037,-77.08437
4057, LABURNUM SQUARE,23231,VA,37.517063,-77.35004
4067, YORKTOWN CTR,22042,VA,38.865673,-77.22762
4071, PO BOX 66,71957,AR,34.5496332,-93.6259366
4073,1135 N MESA DRIVE,85201,AZ,33.435013,-111.82267
4079,25 LAKE HAVASU AVE S,86403,AZ,34.47361,-114.34358
4085,4965 W BELL ROAD,85308,AZ,33.639065,-112.16631
4086,55 W. APACHE TRAIL,85120,AZ,33.41499,-111.554276
4089,1081 GA HIGHWAY 96,31088,GA,32.55291,-83.68877
4092,2060 HIGHWAY 40 E,31548,GA,30.804623,-81.72167
4094,4700 HIGHWAY 280 SUITE 1,35242,AL,33.422813,-86.700424
4097,8 NW MAIN ST,32696,FL,29.387438,-82.447716
4103,10600 ROLLINGWOOD DRIVE,22407,VA,38.248447,-77.51184
4108,111 MICHIGAN AVE NW STE 1107,20010,DC,38.926273,-77.012764
4110,11119 HULL STREET,23112,VA,37.436302,-77.60295
4111,1120 E. UNIVERSITY AVE.,32641,FL,29.652002,-82.31047
4112,1145 U.S. 31 W. BYPASS,42101,KY,36.983329,-86.4413647
4113,115 FIELDS STREET,46158,IN,39.542442,-86.37262
4122,1260 E CENTRAL,45342,OH,39.640697,-84.26768
4123,1290 N STATE RD 135,46142,IN,39.633804,-86.15841
4124,1303 W MAIN,37087,TN,36.21313,-86.32128
4130, SUITE 140,46219,IN,39.78657,-86.0738
4131,1424 S RANGELINE RD,46032,IN,39.95824,-86.126785
4134,1515 OHIO AVE S,32064,FL,30.305067,-82.97934
4135,15155 NW US HIGHWAY 441,32615,FL,29.7949409,-82.4972583
4143,1801 N. ROSE,93030,CA,34.217197,-119.15827
4149,20 BUFORD RD,23235,VA,37.49785,-77.54522
4150,2012 S UNION,44601,OH,40.901543,-81.10589
4152,205 WEST MADISON STREET,32091,FL,29.943602,-82.11079
4153,2094 W US HIGHWAY 90,32055,FL,30.17887,-82.66673
4157,2270 US HIGHWAY 17,31324,GA,31.9508273,-81.3144599
4165,2545 E EUCLID,50317,IA,41.62773,-93.56952
4168,2670 COBB PARKWAY SE,30080,GA,33.88793,-84.47358
4175,29910-A MURRIETA HOT SPRINGS ROAD,92563,CA,33.5544878,-117.1758016
4179,325 BLUEMONT AVE,66502,KS,39.18666,-96.56051
4183,3455 SW ARCHER RD,32608,FL,29.6251,-82.374466
4185,3800 PRINCETON LAKES PKWY SW,30331,GA,33.656338,-84.512505
4186,385 NORTHLAND BLVD,45240,OH,39.282322,-84.485825
4199,4823 JFK BLVD,72116,AR,34.796593,-92.2562
4203,5006 N BROADWAY STREET,37918,TN,36.03009,-83.92901
4213,55 J F KENNEDY RD,52002,IA,42.5021568,-90.7266578
4220,600 WASHINGTON BLVD. S,20707,MD,39.09855,-76.8494
4223,6851 TEMIE LEE PKWY,23112,VA,37.4051987,-77.6658941
4226,700 US HIGHWAY 31 S,46143,IN,39.6056513,-86.1110863
4227,701 E RIDGE,78503,TX,26.184673,-98.2153
4234,7601 HWY 70 S,37221,TN,36.078606,-86.95104
4235,7769 W STATE RTE 66,47630,IN,37.9759985,-87.3922178
4237,7975 E US HWY 36,46123,IN,39.762936,-86.38235
4241, UNIT A,22152,VA,38.77897,-77.234505
4246, SUITE B,20735,MD,38.7658695,-76.8894468
4254,216 STATE ROUTE 36,7764,NJ,40.295222,-74.0300757
4257,2310 W OREGON AVE,19145,PA,39.9181945,-75.1889248
4259,2395 KENNEDY BLVD.,7304,NJ,40.7199743,-74.0806841
4260,2479 CHURCH ROAD,8753,NJ,40.0161,-74.14714
4261,4098 EDGEMONT AVE.,19015,PA,39.87257,-75.3881
4262,425 W MAIN ST,7728,NJ,40.24,-74.30523
4268,1000 PINEVIEW DRIVE,26505,WV,39.65806,-79.95455
4269, PO BOX 1159,24712,WV,37.423584,-81.016106
4271,1327 PLAZA EAST,25301,WV,38.3468312,-81.6253204
4275,1846 COAL HERITAGE RD.,24701,WV,37.284065,-81.25094
4276,221 CROSSINGS MALL ROAD,25071,WV,38.4590944,-81.5014421
4279,300 FOURTH AVE,25136,WV,38.181488,-81.32239
4283,72 WHITEWATER AVE.,25840,WV,38.0324648,-81.1264959
4285,9781 SENECA TRAIL S.,24901,WV,37.78306,-80.455696
4286, PO BOX 246,25813,WV,37.7503049,-81.140456
4289, SUITES A--E,92102,CA,32.712616,-117.1124
4294,2200 BRACKET AVE,54701,WI,44.800106,-91.46933
4296,700 WEST WISCONSIN AVE.,54914,WI,44.272923,-88.41587
4300,2235 EAST GRAND RIVER AVE.,48843,MI,42.61403,-83.956375
4304,30900 WOODWARD,48073,MI,42.51724,-83.18542
4305,37050 GRATOIT,48036,MI,42.5707601,-82.8922636
4306,37340 FIVE MILE RD.,48154,MI,42.396385,-83.412476
4309,18500 GRAND RIVER,48223,MI,42.40344,-83.22508
